customer_tweet_id,customer_tweet_clean,predicted_intent,confidence,fraud_override
2296514,Wow. Burned twice in one week by one-day shipping. This time by a amzn carrier that didn’t even try to deliver.,delivery_shipping_issue,0.95,False
2290871,"ordered ""The north face bag and got this.what a ridiculous <URL> guys are pathetic.seriously. <URL>",general_complaint_other,0.9,False
2863398,"Where is Amazon Household in Canada (sharing of Prime benefits)? In this Christmas season, I guess we'll have to shop off Amazon not to spoil gifts...",positive_feedback,0.85,False
592175,Just had the worst customer experience I've ever had on the phone with your customer service department for what should be a simple thing. They did not help me at all.,general_complaint_other,0.95,False
2613158,I assume this is a spam email as I have not subscribed to Amazon Prime? <URL>,billing_subscription_dispute,0.9,False
2448645,. I really hope my order did not get switched with a child’s. Because I order “Buzz the stimulating history of the sex toy” lol <URL>,marketplace_seller_trust,0.9,False
569159,"you need to drop Intelcom as a courier, they have lost 3 of my shipments this past month already.",delivery_shipping_issue,0.95,False
2621110,#amazon I am #frustrated with your shipping service over the past year. Packages delivered to the wrong house. Two day shipping takes four days. No receiving the package at all. #WhatIsThePurposeOfMyPrimeMembership,delivery_shipping_issue,0.95,False
826598,"Why is it so hard to order a damn dash cam on @<PHONE>st one wouldn’t turn on, then the 2nd one missing a piece..",delivery_shipping_issue,0.9,False
1258268,"hi, now that Amazon Echo and the DOT are in India, when can we expect the Alexa app in playstore ?",digital_service_device_support,0.9,False
2360558,alexa responds when calling her name but when giving a command does nothing already tried rebooting,digital_service_device_support,0.9,False
2384116,Eagerly waiting for my #EchoDot from . It would be great to have on Alexa. Any plans ?,positive_feedback,0.9,False
1546662,tried to resolve and issue through online chat going round in circles automated system not working 😠,general_complaint_other,0.9,False
555402,Another delivery fail! Wrong apartment building. Should stick w/ #USPS <URL>,delivery_shipping_issue,0.95,False
2817169,"Hi , not sure how this is acceptable on a Sunday night after dark. You might want to talk to your delivery person. <URL>",delivery_shipping_issue,0.9,False
1459736,is still showing as in stock online! Delivery for Saturday! So why am I having to wait till potentially Tuesday,delivery_shipping_issue,0.9,False
2420204,Account id from which it was ordered is __email__ Looking forward for your help asap. <URL>,account_access,0.9,False
1273027,no response me. I decide to go court against Amazon and their courier boy who theft my mobile.,general_complaint_other,0.9,False
390419,". A ÉVITER DE TOUTES LES FAÇONS. RETARDS, PERTE DE COLIS, SERVICE CLIENT INEXISTANT cc",general_complaint_other,0.95,False
321158,Anybody else experiencing erratic subtitles on - either ahead or behind. And is sleeping over it.,digital_service_device_support,0.9,False
340497,I need help ASAP. This is something that needs to be handled over the phone. Is there a contact number?,general_complaint_other,0.9,False
134927,can you link me to Kevin bridges tickets on your tickets website pls quick,general_complaint_other,0.9,False
1664433,"I need to change my delivery location, no way to speak with someone to change. Can someone call me or sort this for me online?",account_access,0.9,False
521743,"My nieces have the flu so thought would be nice to order them a craft, something to do while they don’t feel well... ordered from , paid extra for 1 day shipping and didn’t arrive on time ... so they didn’t get their present & out $ for shipping 🤬",delivery_shipping_issue,0.95,False
582626,Where is the result for #Amazonrechargequiz?? #amazonIn,general_complaint_other,0.9,False
529089,can you explain to me what’s going on with my order?? Original delivery date scheduled for 11/28 and “out for delivery” the last three days with no attempt whatsoever to actually deliver <URL>,delivery_shipping_issue,0.9,False
1223763,why is it my responsibility to contact when YOU lost my package? Doesn’t seem like great customer service. <URL>,delivery_shipping_issue,0.9,False
1667770,delivery system is worst of the worst. Is that because I'm not a prime member so you kept on delay my order? 6times within 7days,delivery_shipping_issue,0.95,False
461195,AMZL US is awful.,general_complaint_other,0.9,False
63948,"The embarrassing level of first item damaged not delivered, promised quick delivery of new 1 at no extra cost, then that doesn’t turn up and I get refunded, ask for an investigation, no reply 4 days after they said they would reply",delivery_shipping_issue,0.9,False
2752097,"I made a order and two hours later I got this email, I didn't used a gift card at all I don't know why I'm getting this <URL>",general_complaint_other,0.9,False
1466051,how do I connect my Fire TV stick to Echo Plus?,digital_service_device_support,0.95,False
2290672,Is it legal to sell a product on your platform without mentioning MRP??,marketplace_seller_trust,0.9,False
2628903,Thank you to and for ruining my day off and not delivering my sims 4.,delivery_shipping_issue,0.9,False
218183,When you stay in from 2pm for a package. Then be told that they tried to deliver it at 22.30?? I'm sat next to the door guys!,delivery_shipping_issue,0.9,False
180377,"After canceled orders and delayed order, the only thing left was your customer executives raising their voice. Pathetic services",general_complaint_other,0.9,False
971750,Why does my registered devices section in app show four devices when I subscribed to prime from only one device?,digital_service_device_support,0.9,False
1006005,waiting for my page avenue vinyl to be delivered but the delivery date keeps getting pushed back :(((,delivery_shipping_issue,0.95,False
